Country,Mentions
Afghanistan,1
Albania,2
Algeria,1
Angola,1
Australia,2
Austria,5
Bangladesh,2
Belarus,1
Belgium,2
Bulgaria,1
Cambodia,2
Canada,2
Cape Verde,1
Cuba,3
Denmark,3
Egypt,2
Estonia,2
Finland,4
France,17
Germany,42
Ghana,1
Greece,4
Guinea,4
Bissau,1
Hungary,3
India,9
Iran,4
Iraq,1
Israel,4
Italy,14
Japan,33
Kenya,1
Laos,1
Latvia,2
Lebanon,1
Libya,5
Lithuania,3
Luxembourg,1
Mexico,1
Mongolia,1
Morocco,1
Mozambique,1
Netherlands,2
Norway,5
Pakistan,4
Panama,1
Papua New Guinea,1
Philippines,5
Poland,13
Romania,3
Russia,9
Rwanda,1
São Tomé and Príncipe,1
Seychelles,1
Singapore,2
Solomon Islands,2
South Africa,2
Spain,1
Sweden,1
Thailand,1
Ukraine,2
United Kingdom,2
United States,23
Vietnam,13
